id,text,timestamp,platform,user,ห้องพัก,บริการ,สถานที่ตั้ง
25,The room was spacious and very clean. Breakfast items repeated after a couple of days.,2025-04-02,Google Maps,Priya,5,5,3
26,Air conditioning worked well and quietly. Pool towels ran out in the afternoon.,2025-05-12,Google Maps,Amira,3,3,2
27,Air conditioning worked well and quietly. Parking can be tight on weekends.,2025-06-13,Google Maps,Liam,2,4,4
28,Air conditioning worked well and quietly. Hot water temperature fluctuated a little.,2025-08-03,Google Maps,Robert,5,2,3
29,Location felt safe and convenient for rideshares. We could hear music from nearby venues at night.,2025-06-06,Google Maps,Michael,4,5,4
30,Location felt safe and convenient for rideshares. Street traffic noise was noticeable for lower floors.,2025-05-01,Google Maps,Nur,4,4,4
31,Air conditioning worked well and quietly. Elevator wait times were longer during peak hours.,2025-07-19,Google Maps,Priya,3,4,3
32,Housekeeping kept everything neat each day. Hot water temperature fluctuated a little.,2025-09-27,Google Maps,Chong,4,5,5
33,The room was spacious and very clean. Pool towels ran out in the afternoon.,2025-08-19,Google Maps,Yuki,5,5,2
34,Breakfast had plenty of choices and tasted good. Room service took longer than expected.,2025-04-03,Google Maps,Priya,2,3,2
35,Breakfast had plenty of choices and tasted good. Elevator wait times were longer during peak hours.,2025-06-12,Google Maps,Alex,3,5,4
36,Location felt safe and convenient for rideshares. Room service took longer than expected.,2025-07-03,Google Maps,Aina,4,4,5
37,Staff were friendly and attentive throughout our stay. Hot water temperature fluctuated a little.,2025-07-19,Google Maps,Priya,2,2,4
38,Rooftop pool offers a lovely view and a relaxing vibe. Wi‑Fi signal dropped occasionally in the room.,2025-08-20,Google Maps,Siti,3,3,4
39,Rooftop pool offers a lovely view and a relaxing vibe. Room service took longer than expected.,2025-08-04,Google Maps,Hana,3,5,2
40,Housekeeping kept everything neat each day. Wi‑Fi signal dropped occasionally in the room.,2025-07-04,Google Maps,Nur,1,5,4
41,Rooftop pool offers a lovely view and a relaxing vibe. Hot water temperature fluctuated a little.,2025-09-02,Google Maps,Isabella,4,4,1
42,Staff were friendly and attentive throughout our stay. Hot water temperature fluctuated a little.,2025-09-05,Google Maps,Ivy,1,3,4
43,Housekeeping kept everything neat each day. Hot water temperature fluctuated a little.,2025-06-23,Google Maps,Nur,3,5,5
44,The room was spacious and very clean. Elevator wait times were longer during peak hours.,2025-09-04,Google Maps,Wei Ming,4,4,3
45,Air conditioning worked well and quietly. Breakfast items repeated after a couple of days.,2025-06-29,Google Maps,Yuki,4,5,3
46,Great value for money with comfortable beds. Hot water temperature fluctuated a little.,2025-07-02,Google Maps,Mia,1,4,3
47,Housekeeping kept everything neat each day. Fitness room is small with limited equipment.,2025-04-27,Google Maps,Sarah,3,4,3
48,The room was spacious and very clean. Pool towels ran out in the afternoon.,2025-07-23,Google Maps,Anis,3,5,3
49,Breakfast had plenty of choices and tasted good. Fitness room is small with limited equipment.,2025-09-17,Google Maps,John,4,3,3
50,Staff were friendly and attentive throughout our stay. Wi‑Fi signal dropped occasionally in the room.,2025-06-03,Google Maps,Noah,4,3,5
51,Air conditioning worked well and quietly. Elevator wait times were longer during peak hours.,2025-05-14,Google Maps,John,2,5,3
52,Rooftop pool offers a lovely view and a relaxing vibe. Parking can be tight on weekends.,2025-08-28,Google Maps,Hafiz,4,3,5
53,Housekeeping kept everything neat each day. Street traffic noise was noticeable for lower floors.,2025-06-24,Google Maps,Irfan,2,5,3
54,The room was spacious and very clean. Breakfast items repeated after a couple of days.,2025-09-08,Google Maps,Aina,4,5,4
55,Breakfast had plenty of choices and tasted good. Elevator wait times were longer during peak hours.,2025-05-10,Google Maps,Lucas,2,4,3
56,Check-in was quick and professional. We could hear music from nearby venues at night.,2025-07-15,Google Maps,Chong,4,4,3
57,Rooftop pool offers a lovely view and a relaxing vibe. Room service took longer than expected.,2025-04-21,Google Maps,Daniel,3,4,3
58,Great value for money with comfortable beds. Street traffic noise was noticeable for lower floors.,2025-04-23,Google Maps,Nadia,3,4,1
59,Rooftop pool offers a lovely view and a relaxing vibe. Fitness room is small with limited equipment.,2025-06-28,Google Maps,Lucas,5,4,3
60,Lobby looks modern and welcoming. Pool towels ran out in the afternoon.,2025-05-04,Google Maps,Wei Ming,4,5,5
61,Great value for money with comfortable beds. We could hear music from nearby venues at night.,2025-08-10,Google Maps,Alex,4,4,3
62,Breakfast had plenty of choices and tasted good. Wi‑Fi signal dropped occasionally in the room.,2025-04-01,Google Maps,Anis,5,2,1
63,Lobby looks modern and welcoming. Street traffic noise was noticeable for lower floors.,2025-09-11,Google Maps,Fahmi,4,5,4
64,Housekeeping kept everything neat each day. Pool towels ran out in the afternoon.,2025-09-17,Google Maps,Ava,3,4,1
65,Staff were friendly and attentive throughout our stay. Breakfast items repeated after a couple of days.,2025-04-12,Google Maps,Anis,3,5,4
66,The room was spacious and very clean. Room service took longer than expected.,2025-08-01,Google Maps,Michael,5,2,2
67,Lobby looks modern and welcoming. Room service took longer than expected.,2025-07-16,Google Maps,Jason,4,5,5
68,Location felt safe and convenient for rideshares. Room service took longer than expected.,2025-09-08,Google Maps,Lucas,5,4,5
69,Lobby looks modern and welcoming. Pool towels ran out in the afternoon.,2025-07-31,Google Maps,Priya,5,5,3
70,Air conditioning worked well and quietly. Pool towels ran out in the afternoon.,2025-09-03,Google Maps,Michael,3,2,3
71,Rooftop pool offers a lovely view and a relaxing vibe. Elevator wait times were longer during peak hours.,2025-06-23,Google Maps,Liam,5,2,3
72,Housekeeping kept everything neat each day. Hot water temperature fluctuated a little.,2025-07-19,Google Maps,Wei Ming,2,4,4
73,Housekeeping kept everything neat each day. Parking can be tight on weekends.,2025-06-04,Google Maps,Wei Ming,5,3,5
74,The room was spacious and very clean. Street traffic noise was noticeable for lower floors.,2025-04-19,Google Maps,Ethan,4,5,3
75,Housekeeping kept everything neat each day. Breakfast items repeated after a couple of days.,2025-06-27,Google Maps,Ivy,4,4,4
76,Breakfast had plenty of choices and tasted good. Pool towels ran out in the afternoon.,2025-08-18,Google Maps,Anis,3,4,3
77,Housekeeping kept everything neat each day. Hot water temperature fluctuated a little.,2025-06-26,Google Maps,Maya,5,5,4
78,Housekeeping kept everything neat each day. Street traffic noise was noticeable for lower floors.,2025-06-30,Google Maps,Nadia,4,2,4
79,Lobby looks modern and welcoming. Hot water temperature fluctuated a little.,2025-08-06,Google Maps,Robert,3,3,4
80,Check-in was quick and professional. Breakfast items repeated after a couple of days.,2025-04-10,Google Maps,Sarah,5,5,3
81,Staff were friendly and attentive throughout our stay. Pool towels ran out in the afternoon.,2025-07-22,Google Maps,John,4,2,5
82,Breakfast had plenty of choices and tasted good. We could hear music from nearby venues at night.,2025-04-02,Google Maps,Nur,5,5,3
83,The room was spacious and very clean. Street traffic noise was noticeable for lower floors.,2025-04-07,Google Maps,Amira,3,4,2
84,Breakfast had plenty of choices and tasted good. Pool towels ran out in the afternoon.,2025-04-16,Google Maps,Priya,5,3,4
85,Staff were friendly and attentive throughout our stay. Hot water temperature fluctuated a little.,2025-09-10,Google Maps,Chong,2,1,3
86,Housekeeping kept everything neat each day. Breakfast items repeated after a couple of days.,2025-04-26,Google Maps,Zac,2,4,4
87,Staff were friendly and attentive throughout our stay. Wi‑Fi signal dropped occasionally in the room.,2025-04-19,Google Maps,Siti,5,5,4
88,The room was spacious and very clean. Elevator wait times were longer during peak hours.,2025-08-16,Google Maps,Ivy,4,3,4
89,Check-in was quick and professional. Parking can be tight on weekends.,2025-05-15,Google Maps,Mia,5,2,5
90,Lobby looks modern and welcoming. Hot water temperature fluctuated a little.,2025-07-28,Google Maps,Lucas,3,4,4
91,Location felt safe and convenient for rideshares. Room service took longer than expected.,2025-08-18,Google Maps,Adam,4,5,4
92,Check-in was quick and professional. Fitness room is small with limited equipment.,2025-06-02,Google Maps,Mei Ling,3,4,5
93,Location felt safe and convenient for rideshares. Street traffic noise was noticeable for lower floors.,2025-06-23,Google Maps,Ethan,3,4,3
94,Lobby looks modern and welcoming. Fitness room is small with limited equipment.,2025-07-21,Google Maps,Noah,5,3,5
95,Rooftop pool offers a lovely view and a relaxing vibe. Room service took longer than expected.,2025-04-18,Google Maps,Aina,4,3,3
96,Housekeeping kept everything neat each day. Pool towels ran out in the afternoon.,2025-04-05,Google Maps,Jason,5,4,4
97,Lobby looks modern and welcoming. Pool towels ran out in the afternoon.,2025-05-09,Google Maps,John,2,3,4
98,Rooftop pool offers a lovely view and a relaxing vibe. Street traffic noise was noticeable for lower floors.,2025-08-03,Google Maps,Olivia,4,4,4
99,Air conditioning worked well and quietly. Elevator wait times were longer during peak hours.,2025-04-06,Google Maps,Noah,4,3,3
100,Staff were friendly and attentive throughout our stay. Fitness room is small with limited equipment.,2025-07-07,Google Maps,Liam,2,4,5
101,Great value for money with comfortable beds. Fitness room is small with limited equipment.,2025-09-14,Google Maps,Wei Ming,4,3,4
102,Air conditioning worked well and quietly. Street traffic noise was noticeable for lower floors.,2025-08-01,Google Maps,Alex,5,5,3
103,Check-in was quick and professional. Hot water temperature fluctuated a little.,2025-09-20,Google Maps,Chong,1,4,3
104,The room was spacious and very clean. Room service took longer than expected.,2025-07-10,Google Maps,Alex,4,2,5
105,Lobby looks modern and welcoming. We could hear music from nearby venues at night.,2025-06-18,Google Maps,Aina,4,4,4
106,Great value for money with comfortable beds. Parking can be tight on weekends.,2025-07-22,Google Maps,Priya,5,4,5
107,Housekeeping kept everything neat each day. Pool towels ran out in the afternoon.,2025-09-12,Google Maps,Fahmi,4,4,3
108,Location felt safe and convenient for rideshares. Wi‑Fi signal dropped occasionally in the room.,2025-08-05,Google Maps,Mei Ling,5,2,5
109,Location felt safe and convenient for rideshares. Street traffic noise was noticeable for lower floors.,2025-05-06,Google Maps,Yuki,3,4,4
110,Lobby looks modern and welcoming. Wi‑Fi signal dropped occasionally in the room.,2025-07-10,Google Maps,Ravi,5,3,4
111,Location felt safe and convenient for rideshares. We could hear music from nearby venues at night.,2025-08-05,Google Maps,Wei Ming,4,3,2
112,Breakfast had plenty of choices and tasted good. Hot water temperature fluctuated a little.,2025-04-14,Google Maps,Jason,2,1,4
113,Location felt safe and convenient for rideshares. Pool towels ran out in the afternoon.,2025-05-24,Google Maps,Alex,1,3,3
114,Lobby looks modern and welcoming. We could hear music from nearby venues at night.,2025-06-19,Google Maps,Anis,5,5,4
115,Breakfast had plenty of choices and tasted good. Breakfast items repeated after a couple of days.,2025-04-17,Google Maps,Sophia,4,4,5
116,Great value for money with comfortable beds. We could hear music from nearby venues at night.,2025-06-03,Google Maps,Robert,3,3,4
117,Location felt safe and convenient for rideshares. Wi‑Fi signal dropped occasionally in the room.,2025-08-23,Google Maps,Isabella,2,4,4
118,Rooftop pool offers a lovely view and a relaxing vibe. Room service took longer than expected.,2025-07-23,Google Maps,Ivy,4,2,1
119,Housekeeping kept everything neat each day. Elevator wait times were longer during peak hours.,2025-08-24,Google Maps,Siti,3,2,5
120,Location felt safe and convenient for rideshares. Street traffic noise was noticeable for lower floors.,2025-07-27,Google Maps,John,5,4,3
